source_thunder_link,source_name,name
"""thunder://QUFmdHA6Ly9keWdvZDE6ZHlnb2QxQGQzMDMuZHlnb2Qub3JnOjEwMTIvWyVFNyU5NCVCNSVFNSVCRCVCMSVFNSVBNCVBOSVFNSVBMCU4Mnd3dy5keTIwMTgubmV0XSVFNiU5NyVBMCVFNiVCMyU5NSVFOCVBNyVBNiVFNyVBMiVCMC43MjBwLkJEJUU0JUI4JUFEJUU2JTk2JTg3JUU1JUFEJTk3JUU1JUI5JTk1LnJtdmJaWg==""",ftp://dygod1:dygod1@d303.dygod.org:1012/[电影天堂www.dy2018.net]无法触碰.720p.BD中文字幕.rmvb,泰坦尼克号
"""thunder://QUFmdHA6Ly9keWdvZDQ6ZHlnb2Q0QGRhdGE0LmR5Z29kLmNvbTo4OTMxLyVFNiU5MSVBNyVFNiVBRiU4MSVFNiVCMyVCMCVFNSU5RCVBNiVFNSVCMCVCQyVFNSU4NSU4QiVFNSU4RiVCNyVFNyU5QSU4NCVFNSU4NiVCMCVFNSVCMSVCMSVFNiU5RCU4MCVFNiU4OSU4Qi9bJUU3JTk0JUI1JUU1JUJEJUIxJUU1JUE0JUE5JUU1JUEwJTgyd3d3LmR5Z29kLm5ldF0lRTYlOTElQTclRTYlQUYlODElRTYlQjMlQjAlRTUlOUQlQTYlRTUlQjAlQkMlRTUlODUlOEIlRTUlOEYlQjclRTclOUElODQlRTUlODYlQjAlRTUlQjElQjElRTYlOUQlODAlRTYlODklOEIucm12Ylpa""",ftp://dygod4:dygod4@data4.dygod.com:8931/摧毁泰坦尼克号的冰山杀手/[电影天堂www.dygod.net]摧毁泰坦尼克号的冰山杀手.rmvb,泰坦尼克号
"""thunder://QUFmdHA6Ly9keWdvZDM6ZHlnb2QzQGQxMzguZHlnb2QuY29tOjQwMDgvWyVFNyU5NCVCNSVFNSVCRCVCMSVFNSVBNCVBOSVFNSVBMCU4Mnd3dy5keWdvZC5jb21dJUU3JUE3JTk4JUU1JUFGJTg2JUU2JThFJUEyJUU5JTk5JUE5JUVGJUJDJTlBJUU2JUIzJUIwJUU1JTlEJUE2JUU1JUIwJUJDJUU1JTg1JThCLnJhclpa""",ftp://dygod3:dygod3@d138.dygod.com:4008/[电影天堂www.dygod.com]秘密探险：泰坦尼克.rar,泰坦尼克号
"""thunder://QUFmdHA6Ly9keWdvZDE6ZHlnb2QxQGQxMjEuZHlnb2QuY29tOjEzMTAvJUU2JUIzJUIwJUU1JTlEJUE2JUU1JUIwJUJDJUU1JTg1JThCJUU1JThGJUI3LlslRTQlQjglQUQlRTglOEIlQjElRTUlOEYlOEMlRTUlQUQlOTcuMTAyNCVFNSU4OCU4NiVFOCVCRSVBOCVFNyU4RSU4N10vWyVFNyU5NCVCNSVFNSVCRCVCMSVFNSVBNCVBOSVFNSVBMCU4Mnd3dy5keWdvZC5jbl0uJUU2JUIzJUIwJUU1JTlEJUE2JUU1JUIwJUJDJUU1JTg1JThCJUU1JThGJUI3LlslRTQlQjglQUQlRTglOEIlQjElRTUlOEYlOEMlRTUlQUQlOTcuMTAyNCVFNSU4OCU4NiVFOCVCRSVBOCVFNyU4RSU4N10ucm12Ylpa""",ftp://dygod1:dygod1@d121.dygod.com:1310/泰坦尼克号.[中英双字.1024分辨率]/[电影天堂www.dygod.cn].泰坦尼克号.[中英双字.1024分辨率].rmvb,泰坦尼克号
"""thunder://QUFmdHA6Ly9keWdvZDE6ZHlnb2QxQGQwNTUuZHlnb2Qub3JnOjEyMTcvJUU1JUE0JUE5JUU3JUE5JUJBJUU0JUI5JThCJUU1JTlGJThFLlslRTQlQjglQUQlRTUlQUQlOTcuMTAyNCVFNSU4OCU4NiVFOCVCRSVBOCVFNyU4RSU4N10vWyVFNyU5NCVCNSVFNSVCRCVCMSVFNSVBNCVBOSVFNSVBMCU4Mnd3dy5keTIwMTgubmV0XSVFNSVBNCVBOSVFNyVBOSVCQSVFNCVCOSU4QiVFNSU5RiU4RUJEJUU0JUI4JUFEJUU1JUFEJTk3LnJtdmJaWg==""",ftp://dygod1:dygod1@d055.dygod.org:1217/天空之城.[中字.1024分辨率]/[电影天堂www.dy2018.net]天空之城BD中字.rmvb,天空之城
"""thunder://QUFmdHA6Ly9keWdvZDpkeWdvZEBkYXRhNi5keWdvZC5uZXQ6MjA3Ni8lRTYlQjglQjglRTYlODglOEYvWyVFNyU5NCVCNSVFNSVCRCVCMSVFNSVBNCVBOSVFNSVBMCU4Mnd3dy5keWdvZC5jbl0lRTUlOEYlOTElRTYlOTglOEUlRTUlQjclQTUlRTUlOUQlOEEyLnJhclpa""",ftp://dygod:dygod@data6.dygod.net:2076/游戏/[电影天堂www.dygod.cn]发明工坊2.rar,天空之城
"""thunder://QUFmdHA6Ly9keWdvZDE6ZHlnb2QxQGQxMjIuZHlnb2QuY246MTMzNC8lRTklOTglQkYlRTclOTQlOTglRTYlQUQlQTMlRTQlQkMlQTAuWyVFNCVCOCVBRCVFOCU4QiVCMSVFNSU4RiU4QyVFNSVBRCU5Ny4xMDI0JUU1JTg4JTg2JUU4JUJFJUE4JUU3JThFJTg3XS9bJUU3JTk0JUI1JUU1JUJEJUIxJUU1JUE0JUE5JUU1JUEwJTgyd3d3LmR5Z29kLm5ldF0uJUU5JTk4JUJGJUU3JTk0JTk4JUU2JUFEJUEzJUU0JUJDJUEwLlslRTQlQjglQUQlRTglOEIlQjElRTUlOEYlOEMlRTUlQUQlOTcuMTAyNCVFNSU4OCU4NiVFOCVCRSVBOCVFNyU4RSU4N10ucm12Ylpa""",ftp://dygod1:dygod1@d122.dygod.cn:1334/阿甘正传.[中英双字.1024分辨率]/[电影天堂www.dygod.net].阿甘正传.[中英双字.1024分辨率].rmvb,阿甘正传
"""thunder://QUFmdHA6Ly9keWdvZDE6ZHlnb2QxQGQyMDQuZHlnb2QuY246NTA0Mi8lRTglODIlOTYlRTclOTQlQjMlRTUlODUlOEIlRTclOUElODQlRTYlOTUlOTElRTglQjUlOEVEVkQlRTQlQjglQUQlRTglOEIlQjElRTUlOEYlOEMlRTUlQUQlOTcvWyVFNyU5NCVCNSVFNSVCRCVCMSVFNSVBNCVBOSVFNSVBMCU4Mnd3dy5keWdvZC5jbl0lRTglODIlOTYlRTclOTQlQjMlRTUlODUlOEIlRTclOUElODQlRTYlOTUlOTElRTglQjUlOEVEVkQlRTQlQjglQUQlRTglOEIlQjElRTUlOEYlOEMlRTUlQUQlOTdjZDEucm12Ylpa""",ftp://dygod1:dygod1@d204.dygod.cn:5042/肖申克的救赎DVD中英双字/[电影天堂www.dygod.cn]肖申克的救赎DVD中英双字cd1.rmvb,肖申克的救赎
"""thunder://QUFmdHA6Ly9keWdvZDI6ZHlnb2QyQGQxOTguZHlnb2Qub3JnOjQwMDYvWyVFNyU5NCVCNSVFNSVCRCVCMSVFNSVBNCVBOSVFNSVBMCU4Mnd3dy5keTIwMTguY29tXVslRTklOUMlQjglRTclOEUlOEIlRTUlODglQUIlRTUlQTclQUNdLkZhcmV3ZWxsLk15LkNvbmN1YmluZS5DSFMuZnVsbC5yaXAucmFyWlo=""",ftp://dygod2:dygod2@d198.dygod.org:4006/[电影天堂www.dy2018.com][霸王别姬].Farewell.My.Concubine.CHS.full.rip.rar,霸王别姬
"""thunder://QUFmdHA6Ly9keWdvZDE6ZHlnb2QxQGQzMTIuZHlnb2Qub3JnOjEyMDYvJUU3JTlCJTk3JUU2JUEyJUE2JUU3JUE5JUJBJUU5JTk3JUI0RFZEJUU0JUI4JUFEJUU4JThCJUIxJUU1JThGJThDJUU1JUFEJTk3L1slRTclOTQlQjUlRTUlQkQlQjElRTUlQTQlQTklRTUlQTAlODJ3d3cuZHkyMDE4Lm5ldF0lRTclOUIlOTclRTYlQTIlQTYlRTclQTklQkElRTklOTclQjREVkQlRTQlQjglQUQlRTglOEIlQjElRTUlOEYlOEMlRTUlQUQlOTctY2QxLnJtdmJaWg==""",ftp://dygod1:dygod1@d312.dygod.org:1206/盗梦空间DVD中英双字/[电影天堂www.dy2018.net]盗梦空间DVD中英双字-cd1.rmvb,盗梦空间
