movieInfo,quote,title,star,quo_num
导演:弗兰克·德拉邦特FrankDarabont主演:蒂姆·罗宾斯TimRobbins/...;1994/美国/犯罪剧情;;,希望让人自由。,肖申克的救赎,9.6,690584人评价
导演:吕克·贝松LucBesson主演:让·雷诺JeanReno/娜塔丽·波特曼...;1994/法国/剧情动作犯罪;;,怪蜀黍和小萝莉不得不说的故事。,这个杀手不太冷,9.4,660204人评价
导演:RobertZemeckis主演:TomHanks/RobinWrightPenn/GarySinise;1994/美国/剧情爱情;;,一部美国近现代史。,阿甘正传,9.4,579030人评价
导演:陈凯歌KaigeChen主演:张国荣LeslieCheung/张丰毅FengyiZha...;1993/中国大陆香港/剧情爱情同性;;,风华绝代。,霸王别姬,9.4,476782人评价
导演:罗伯托·贝尼尼RobertoBenigni主演:罗伯托·贝尼尼RobertoBeni...;1997/意大利/剧情喜剧爱情;;,最美的谎言。,美丽人生,9.5,326507人评价
导演:宫崎骏HayaoMiyazaki主演:柊瑠美RumiHîragi/入野自由Miy...;2001/日本/剧情动画奇幻;;,最好的宫崎骏，最好的久石让。 ,千与千寻,9.2,523750人评价
导演:史蒂文·斯皮尔伯格StevenSpielberg主演:连姆·尼森LiamNeeson...;1993/美国/剧情历史战争;;,拯救一个人，就是拯救整个世界。,辛德勒的名单,9.4,305903人评价
导演:朱塞佩·托纳多雷GiuseppeTornatore主演:蒂姆·罗斯TimRoth/...;1998/意大利/剧情音乐;;,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,海上钢琴师,9.2,500107人评价
导演:安德鲁·斯坦顿AndrewStanton主演:本·贝尔特BenBurtt/艾丽...;2008/美国/喜剧爱情科幻动画冒险;;,小瓦力，大人生。,机器人总动员,9.3,420607人评价
导演:克里斯托弗·诺兰ChristopherNolan主演:莱昂纳多·迪卡普里奥Le...;2010/美国英国/剧情动作科幻悬疑冒险;;,诺兰给了我们一场无法盗取的梦。,盗梦空间,9.2,640388人评价
导演:JamesCameron主演:LeonardoDiCaprio/KateWinslet/BillyZane;1997/美国/剧情爱情灾难;;,失去的才是永恒的。 ,泰坦尼克号,9.1,533782人评价
导演:拉库马·希拉尼RajkumarHirani主演:阿米尔·汗AamirKhan/卡...;2009/印度/剧情喜剧爱情歌舞;;,英俊版憨豆，高情商版谢耳朵。,三傻大闹宝莱坞,9.1,548533人评价
导演:克里斯托夫·巴拉蒂ChristopheBarratier主演:杰拉尔·朱诺Géra...;2004/法国德国瑞士/剧情儿童音乐;;,天籁一般的童声，是最接近上帝的存在。 ,放牛班的春天,9.2,369461人评价
导演:莱塞·霍尔斯道姆LasseHallström主演:理查·基尔RichardGer...;2009/美国英国/剧情;;,永远都不能忘记你所爱的人。,忠犬八公的故事,9.2,351352人评价
导演:宫崎骏HayaoMiyazaki主演:日高法子NorikoHidaka/坂本千夏Ch...;1988/日本/动画奇幻;;,人人心中都有个龙猫，童年就永远不会消失。,龙猫,9.1,343258人评价
导演:刘镇伟JeffreyLau主演:周星驰StephenChow/吴孟达ManTatNg...;1995/香港中国大陆/动作冒险喜剧奇幻爱情;;,一生所爱。,大话西游之大圣娶亲,9.1,365234人评价
导演:弗朗西斯·福特·科波拉FrancisFordCoppola主演:马龙·白兰度M...;1972/美国/剧情犯罪;;,千万不要记恨你的对手，这样会让你失去理智。,教父,9.2,279773人评价
导演:VictorFleming/GeorgeCukor主演:克拉克·盖博ClarkGable/...;1939/美国/剧情爱情战争;;,Tomorrow is another day.,乱世佳人,9.2,225470人评价
导演:朱塞佩·托纳多雷GiuseppeTornatore主演:安东娜拉·塔莉Antonel...;1988/意大利法国/剧情爱情;;,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,天堂电影院,9.1,258406人评价
导演:加布里尔·穆奇诺GabrieleMuccino主演:威尔·史密斯WillSmith...;2006/美国/剧情传记家庭;;,平民励志片。 ,当幸福来敲门,8.9,449250人评价
导演:大卫·芬奇DavidFincher主演:爱德华·诺顿EdwardNorton/布拉...;1999/美国德国/剧情动作悬疑惊悚;;,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,搏击俱乐部,9.0,351544人评价
导演:彼得·威尔PeterWeir主演:金·凯瑞JimCarrey/劳拉·琳妮Lau...;1998/美国/剧情;;,如果再也不能见到你，祝你早安，午安，晚安。,楚门的世界,9.0,351358人评价
导演:奥利维·那卡什OlivierNakache/艾力克·托兰达EricToledano主...;2011/法国/剧情喜剧;;,满满温情的高雅喜剧。,触不可及,9.1,292102人评价
导演:彼得·杰克逊PeterJackson主演:维果·莫腾森ViggoMortensen/...;2003/美国新西兰/剧情动作奇幻冒险;;,史诗的终章。,指环王3：王者无敌,9.1,239517人评价
导演:威廉·惠勒WilliamWyler主演:奥黛丽·赫本AudreyHepburn/格...;1953/美国/喜剧剧情爱情;;,爱情哪怕只有一天。,罗马假日,8.9,320490人评价
导演:SidneyLumet主演:亨利·方达HenryFonda/马丁·鲍尔萨姆Marti...;1957/美国/剧情;;,1957年的理想主义。 ,十二怒汉,9.3,134337人评价
导演:GuyRitchie主演:JasonFlemyng/DexterFletcher/NickMoran;1998/英国/剧情喜剧犯罪;;,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,两杆大烟枪,9.0,231125人评价
导演:宫崎骏HayaoMiyazaki主演:田中真弓MayumiTanaka/鹫尾真知子...;1986/日本/动画奇幻冒险;;,对天空的追逐，永不停止。 ,天空之城,9.0,269663人评价
导演:罗伯·莱纳RobReiner主演:玛德琳·卡罗尔MadelineCarroll/卡...;2010/美国/剧情喜剧爱情;;,真正的幸福是来自内心深处。,怦然心动,8.9,425535人评价
